parent_id,method,matrix_count,direction_repeat,training_repeat,status,parameter_success,output_l1_error,coefficient_l1_norm,joint_parameter_error,angular_gaussian_nmse,logical_learning_queries,minimum_hidden_weight,run_id
T512_seed0,random_1,6,2,,complete,False,0.48308475609330237,1.0832256149384107,0.48308475609330237,0.06824985530292464,31191992658,-0.055214817348039145,T512_seed0_repeat2_M6_random_1
T512_seed0,random_64,6,2,,complete,False,0.4764236926416595,1.0832256149384105,0.4764236926416595,0.07559289686926134,31191992658,-0.03806411838001906,T512_seed0_repeat2_M6_random_64
T512_seed0,two_hessian,12,2,,complete,False,0.49215011554757526,1.0832256149384096,0.49215011554757526,0.06293897855454647,31191992508,-0.07081627254879656,T512_seed0_repeat2_M12_two_hessian
T512_seed0,best_single,12,2,,complete,False,0.47384174053257944,1.08322561493841,0.47384174053257944,0.07616021392865455,31191992838,-0.0383451161325385,T512_seed0_repeat2_M12_best_single
T512_seed0,random_1,12,2,,complete,False,0.5387200594221122,1.0832256149384114,0.5387200594221122,0.0635933354542562,31191992838,-0.03815045432643459,T512_seed0_repeat2_M12_random_1
T512_seed0,random_64,12,2,,complete,False,0.4792128265352158,1.0832256149384105,0.4792128265352158,0.0746393500648309,31191992838,-0.03786562740517666,T512_seed0_repeat2_M12_random_64
T512_seed0,random_8,12,2,,complete,False,0.48869459396478876,1.0832256149384099,0.48869459396478876,0.0739159689407048,31191992838,-0.03352157408868583,T512_seed0_repeat2_M12_random_8
T512_seed0,random_32,12,2,,complete,False,0.46996749769336044,1.0832256149384099,0.46996749769336044,0.07735624612207895,31191992838,-0.03706690564844652,T512_seed0_repeat2_M12_random_32
T512_seed0,two_hessian,24,2,,complete,False,0.49215011554757526,1.0832256149384096,0.49215011554757526,0.06293897855454647,31191992508,-0.07081627254879656,T512_seed0_repeat2_M24_two_hessian
T512_seed0,best_single,24,2,,complete,False,0.47384174053257944,1.08322561493841,0.47384174053257944,0.07616021392865455,31191993198,-0.0383451161325385,T512_seed0_repeat2_M24_best_single
T512_seed0,random_1,24,2,,complete,False,0.45755167566691357,1.0832256149384096,0.45755167566691357,0.08687301084470735,31191993198,-0.033954036090283767,T512_seed0_repeat2_M24_random_1
T512_seed0,random_64,24,2,,complete,False,0.48247941606391465,1.08322561493841,0.48247941606391465,0.07366756910770257,31191993198,-0.038801878061768116,T512_seed0_repeat2_M24_random_64
T512_seed0,two_hessian,3,3,,complete,False,0.47166730515040245,1.0832256149384105,0.47166730515040245,0.07508471594753431,31191992508,-0.040360711269869017,T512_seed0_repeat3_M3_two_hessian
T512_seed0,best_single,3,3,,complete,False,0.47166730515040245,1.0832256149384105,0.47166730515040245,0.07508471594753431,31191992568,-0.040360711269869017,T512_seed0_repeat3_M3_best_single
T512_seed0,random_1,3,3,,complete,False,0.48209188915626144,1.0832256149384103,0.48209188915626144,0.07677022653430578,31191992568,-0.026939627532297776,T512_seed0_repeat3_M3_random_1
T512_seed0,random_64,3,3,,complete,False,0.4722827055085449,1.083225614938411,0.4722827055085449,0.07499887262016594,31191992568,-0.04061413654499135,T512_seed0_repeat3_M3_random_64
T512_seed0,two_hessian,6,3,,complete,False,0.47166730515040245,1.0832256149384105,0.47166730515040245,0.07508471594753431,31191992508,-0.040360711269869017,T512_seed0_repeat3_M6_two_hessian
T512_seed0,best_single,6,3,,complete,False,0.47166730515040245,1.0832256149384105,0.47166730515040245,0.07508471594753431,31191992658,-0.040360711269869017,T512_seed0_repeat3_M6_best_single
T512_seed0,random_1,6,3,,complete,False,0.47051213946247994,1.0832256149384099,0.47051213946247994,0.07746095540451856,31191992658,-0.038766898747846945,T512_seed0_repeat3_M6_random_1
T512_seed0,random_64,6,3,,complete,False,0.47399309030291137,1.0832256149384099,0.47399309030291137,0.07560127550567339,31191992658,-0.038921200906811865,T512_seed0_repeat3_M6_random_64
T512_seed0,two_hessian,12,3,,complete,False,0.47166730515040245,1.0832256149384105,0.47166730515040245,0.07508471594753431,31191992508,-0.040360711269869017,T512_seed0_repeat3_M12_two_hessian
T512_seed0,best_single,12,3,,complete,False,0.47166730515040245,1.0832256149384105,0.47166730515040245,0.07508471594753431,31191992838,-0.040360711269869017,T512_seed0_repeat3_M12_best_single
T512_seed0,random_1,12,3,,complete,False,0.46462629164287594,1.0832256149384105,0.46462629164287594,0.08001422953091873,31191992838,-0.03795733011900018,T512_seed0_repeat3_M12_random_1
T512_seed0,random_64,12,3,,complete,False,0.4744848300015826,1.0832256149384112,0.4744848300015826,0.07509439174910841,31191992838,-0.04004412607853327,T512_seed0_repeat3_M12_random_64
T512_seed0,random_8,12,3,,complete,False,0.4700945201472434,1.0832256149384114,0.4700945201472434,0.07709451629935067,31191992838,-0.038866580341862585,T512_seed0_repeat3_M12_random_8
T512_seed0,random_32,12,3,,complete,False,0.4744848300015826,1.0832256149384112,0.4744848300015826,0.07509439174910841,31191992838,-0.04004412607853327,T512_seed0_repeat3_M12_random_32
T512_seed0,two_hessian,24,3,,complete,False,0.47166730515040245,1.0832256149384105,0.47166730515040245,0.07508471594753431,31191992508,-0.040360711269869017,T512_seed0_repeat3_M24_two_hessian
T512_seed0,best_single,24,3,,complete,False,0.47166730515040245,1.0832256149384105,0.47166730515040245,0.07508471594753431,31191993198,-0.040360711269869017,T512_seed0_repeat3_M24_best_single
T512_seed0,random_1,24,3,,complete,False,0.5002079075553346,1.0832256149384092,0.5002079075553346,0.060970485650773405,31191993198,-0.049869393383316245,T512_seed0_repeat3_M24_random_1
T512_seed0,random_64,24,3,,complete,False,0.47389492218998996,1.0832256149384105,0.47389492218998996,0.07426110020644712,31191993198,-0.04030030962440643,T512_seed0_repeat3_M24_random_64
T512_seed0,two_hessian,3,4,,complete,False,0.4926268118917093,1.0832256149384105,0.4926268118917093,0.06743077351277534,31191992508,-0.04524008221318137,T512_seed0_repeat4_M3_two_hessian
T512_seed0,best_single,3,4,,complete,False,0.48656576883224545,1.0832256149384107,0.48656576883224545,0.06807443610601438,31191992568,-0.04644893140771819,T512_seed0_repeat4_M3_best_single
T512_seed0,random_1,3,4,,complete,False,0.48273922883741693,1.0832256149384105,0.48273922883741693,0.0763420680451737,31191992568,-0.028290404235793782,T512_seed0_repeat4_M3_random_1
T512_seed0,random_64,3,4,,complete,False,0.4698523603071073,1.0832256149384105,0.4698523603071073,0.07753270322077234,31191992568,-0.037791363672366816,T512_seed0_repeat4_M3_random_64
T512_seed0,two_hessian,6,4,,complete,False,0.4926268118917093,1.0832256149384105,0.4926268118917093,0.06743077351277534,31191992508,-0.04524008221318137,T512_seed0_repeat4_M6_two_hessian
T512_seed0,best_single,6,4,,complete,False,0.4712111099533033,1.0832256149384107,0.4712111099533033,0.07543676702924529,31191992658,-0.040499838598075405,T512_seed0_repeat4_M6_best_single
T512_seed0,random_1,6,4,,complete,False,0.4664158283570492,1.0832256149384099,0.4664158283570492,0.07543365862982122,31191992658,-0.04120994451276318,T512_seed0_repeat4_M6_random_1
T512_seed0,random_64,6,4,,complete,False,0.47666448678813783,1.08322561493841,0.47666448678813783,0.07468916196507226,31191992658,-0.03886171876113358,T512_seed0_repeat4_M6_random_64
T512_seed0,two_hessian,12,4,,complete,False,0.4926268118917093,1.0832256149384105,0.4926268118917093,0.06743077351277534,31191992508,-0.04524008221318137,T512_seed0_repeat4_M12_two_hessian
T512_seed0,best_single,12,4,,complete,False,0.4712111099533033,1.0832256149384107,0.4712111099533033,0.07543676702924529,31191992838,-0.040499838598075405,T512_seed0_repeat4_M12_best_single
T512_seed0,random_1,12,4,,complete,False,0.46748923770230255,1.0832256149384103,0.46748923770230255,0.07931065439141491,31191992838,-0.0377426985841693,T512_seed0_repeat4_M12_random_1
T512_seed0,random_64,12,4,,complete,False,0.47825019615182507,1.0832256149384096,0.47825019615182507,0.07408287960711335,31191992838,-0.03909602145748355,T512_seed0_repeat4_M12_random_64
T512_seed0,random_8,12,4,,complete,False,0.4739505231195704,1.0832256149384094,0.4739505231195704,0.07468846303981787,31191992838,-0.04007142330445273,T512_seed0_repeat4_M12_random_8
T512_seed0,random_32,12,4,,complete,False,0.476100669456216,1.0832256149384114,0.476100669456216,0.0750395865336507,31191992838,-0.03914751095762187,T512_seed0_repeat4_M12_random_32
T512_seed0,two_hessian,24,4,,complete,False,0.4926268118917093,1.0832256149384105,0.4926268118917093,0.06743077351277534,31191992508,-0.04524008221318137,T512_seed0_repeat4_M24_two_hessian
T512_seed0,best_single,24,4,,complete,False,0.4712111099533033,1.0832256149384107,0.4712111099533033,0.07543676702924529,31191993198,-0.040499838598075405,T512_seed0_repeat4_M24_best_single
T512_seed0,random_1,24,4,,complete,False,0.47585582346695465,1.08322561493841,0.47585582346695465,0.0757335599435794,31191993198,-0.03952586708691116,T512_seed0_repeat4_M24_random_1
T512_seed0,random_64,24,4,,complete,False,0.4871604611037644,1.083225614938411,0.4871604611037644,0.0709084101386427,31191993198,-0.040891962825143964,T512_seed0_repeat4_M24_random_64
T512_seed0,random_64_gaussian_ols,12,0,0,complete,False,0.22117799139202965,0.9608180368170283,0.22117799139202965,0.008192039099988632,31193041414,-0.03988677821766305,T512_seed0_repeat0_M12_random_64_OLS0
T512_seed0,random_64_gaussian_ols_abs,12,0,0,complete,False,0.17928723717454081,1.0558582344452605,0.17928723717454081,0.008169767873760002,31193041414,0.03693994725092353,T512_seed0_repeat0_M12_random_64_OLS0_abs
T512_seed0,random_64_gaussian_ols,12,1,0,complete,False,0.2168956527598883,0.9615729363432877,0.2168956527598883,0.008192487762960977,31193041414,-0.04034019150144781,T512_seed0_repeat1_M12_random_64_OLS0
T512_seed0,random_64_gaussian_ols_abs,12,1,0,complete,False,0.17623030344470014,1.0578245554247896,0.17623030344470014,0.008169980041033222,31193041414,0.03732851279242636,T512_seed0_repeat1_M12_random_64_OLS0_abs
T512_seed0,random_64_gaussian_ols,12,2,0,complete,False,0.21383443560502802,0.9625394992057243,0.21383443560502802,0.008192128461486356,31193041414,-0.03786562740517666,T512_seed0_repeat2_M12_random_64_OLS0
T512_seed0,random_64_gaussian_ols_abs,12,2,0,complete,False,0.1750997393325125,1.053459047802422,0.1750997393325125,0.008170837489683969,31193041414,0.03519989517442458,T512_seed0_repeat2_M12_random_64_OLS0_abs
T512_seed0,random_64_gaussian_ols,12,3,0,complete,False,0.2070948961581302,0.9635504292468366,0.2070948961581302,0.008193207254350398,31193041414,-0.04004412607853327,T512_seed0_repeat3_M12_random_64_OLS0
T512_seed0,random_64_gaussian_ols_abs,12,3,0,complete,False,0.16982259334281552,1.0596506644662604,0.16982259334281552,0.008170813128248498,31193041414,0.03707486494604522,T512_seed0_repeat3_M12_random_64_OLS0_abs
T512_seed0,random_64_gaussian_ols,12,4,0,complete,False,0.21307611440348562,0.9621779427274781,0.21307611440348562,0.008192546450576961,31193041414,-0.03909602145748355,T512_seed0_repeat4_M12_random_64_OLS0
T512_seed0,random_64_gaussian_ols_abs,12,4,0,complete,False,0.1714016207948617,1.0554627068335778,0.1714016207948617,0.00817067840399755,31193041414,0.03626072156105395,T512_seed0_repeat4_M12_random_64_OLS0_abs
